,Mean_1h,CV_1h,AR-1_1h,Skewness_1h,CV_3h,AR-1_3h,Skewness_3h,CV_6h,AR-1_6h,Skewness_6h,CV_1D,AR-1_1D,Skewness_1D
0,0.0629177,5.0246218,0.6042204,8.2733975,4.1667631,0.3547801,7.6128647,3.507194,0.3011796,6.36823,2.3166588,0.2152,4.1512892
0,0.07352,4.0250718,0.566346,6.1882855,3.3556123,0.5117,4.5828095,2.8593771,0.3968699,3.9972727,1.8551375,0.0450753,2.7284006
0,0.0662642,3.930269,0.4571618,6.7756881,3.0091688,0.3688925,5.1476685,2.4993007,0.2759054,4.3366313,1.5971052,0.1119137,2.714583
0,0.0583705,4.7356247,0.5793168,7.1073221,3.8224079,0.4832852,5.675579,3.3463223,0.3715314,5.0493559,2.2707457,0.2331357,3.1836031
0,0.0711186,6.0105991,0.3250737,14.0875292,4.3025533,0.2600758,9.7603842,3.410867,0.1824548,7.4803232,1.9100276,0.1665116,3.2561415
0,0.0676792,5.837575,0.3184508,11.9840614,4.165406,0.3107015,6.9754456,3.4560902,0.3219433,5.8525289,2.3630518,0.11339,3.9272729
0,0.0887622,6.4228681,0.3876913,13.2277338,4.5933293,0.2917255,8.9239228,3.7585784,0.1691508,8.713189,2.1377415,0.1020479,4.2745817
0,0.0930654,6.40501,0.4749623,22.6884498,4.9519315,0.3302544,11.4378449,4.0273578,0.2282553,7.980269,2.4075123,0.1239655,3.7629428
0,0.0759963,5.1844394,0.5354943,9.133074,4.0806771,0.3421796,6.5370477,3.3438789,0.2274696,4.9540204,1.9653975,0.2209391,2.4093888
0,0.0943938,4.6051272,0.3967532,16.441583,3.4715874,0.2595648,9.5169969,2.7203673,0.2165458,6.4139465,1.5867815,0.1463795,2.9183821
0,0.0962994,3.969336,0.5998269,6.6798721,3.269614,0.5414613,5.2178658,2.8744688,0.4162211,4.6753267,1.9647306,0.0295683,3.3861768
0,0.0740092,5.0862937,0.4911679,10.1309045,4.0402092,0.2960212,6.7159367,3.2785142,0.1939728,4.9639729,1.8770913,0.114957,2.4745625
