,Mean_1h,CV_1h,AR-1_1h,Skewness_1h,CV_3h,AR-1_3h,Skewness_3h,CV_6h,AR-1_6h,Skewness_6h,CV_1D,AR-1_1D,Skewness_1D
0,0.0753725,4.9004033,0.5985224,8.4740581,4.0693171,0.3141425,7.5256353,3.2931143,0.2262367,5.3065041,2.0400269,0.1743957,2.9726798
0,0.0641542,4.2468399,0.5425453,6.8760153,3.418759,0.5205217,5.3291767,3.0130372,0.4030726,4.8006281,1.9991601,0.1102667,2.905037
0,0.0649685,4.4476419,0.4142926,8.6871843,3.3885904,0.4078083,6.1611304,2.8266409,0.3457937,5.1244015,1.8818346,0.1234183,4.0193817
0,0.0725695,4.4257305,0.5677154,7.6602519,3.6220428,0.3946285,5.9366728,3.0128418,0.3477236,4.3467402,1.9397996,0.0797707,2.6474289
0,0.0873615,5.8452672,0.3874909,13.1270095,4.5675729,0.3229897,11.5419658,3.7301414,0.3266495,7.6478481,2.5692086,0.1263048,5.6107057
0,0.0792044,5.425433,0.3526838,10.1921349,3.9450698,0.3570311,6.2414152,3.1675961,0.3682889,4.5567389,2.1978132,0.1753381,3.2041278
0,0.062198,6.5333782,0.4072638,11.1746195,4.9540577,0.3011252,8.0171254,3.9838099,0.2974754,5.8604146,2.4177562,0.1760208,3.3699532
0,0.0693269,6.1266965,0.5396086,16.1113523,4.8850396,0.3129034,10.1958124,3.838756,0.2705187,6.6372151,2.3396641,0.0551882,3.4856287
0,0.0908329,4.5101466,0.5801757,7.5037482,3.7679974,0.479518,6.4978208,3.1801648,0.4512044,5.0645349,2.1928463,0.1971667,3.423838
0,0.0838564,6.8240103,0.3372354,19.4752876,4.6085714,0.2430695,10.6622846,3.7825402,0.1057818,8.8492459,2.1159908,0.0678519,3.7685457
0,0.1072523,4.1295387,0.5738032,7.5666054,3.4217333,0.485801,5.6076165,2.9993487,0.348516,4.7546979,1.9323548,0.0621115,2.7062894
0,0.0831343,4.6942276,0.5521408,10.504011,3.777898,0.3702774,6.8948591,3.1911057,0.1971061,5.7407475,1.8514234,0.1194489,2.6581858
